location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
United Arab Emirates,ARE,2021-05-21,12034349,,,,212295,84096,120.45,,,,8417,29436,0.295
United Arab Emirates,ARE,2021-05-22,,,,,,93105,,,,,9319,29436,0.295
United Arab Emirates,ARE,2021-05-23,12165848,,,,,102154,121.77,,,,10225,29436,0.295
United Arab Emirates,ARE,2021-05-24,,,,,,114460,,,,,11456,29436,0.295
United Arab Emirates,ARE,2021-05-25,12415548,,,,,117354,124.27,,,,11746,29436,0.295
United Arab Emirates,ARE,2021-05-26,12531970,,,,116422,118254,125.43,,,,11836,29436,0.295
United Arab Emirates,ARE,2021-05-27,,,,,,109563,,,,,10966,29436,0.295
United Arab Emirates,ARE,2021-05-28,12646025,,,,,87382,126.57,,,,8746,29436,0.295
United Arab Emirates,ARE,2021-05-29,12756630,,,,110605,93790,127.68,,,,9387,29436,0.295
United Arab Emirates,ARE,2021-05-30,12811422,,,,54792,92225,128.23,,,,9231,29436,0.295
United Arab Emirates,ARE,2021-05-31,12870553,,,,59131,82836,128.82,,,,8291,29436,0.295
United Arab Emirates,ARE,2021-06-01,12967716,,,,97163,78881,129.79,,,,7895,29436,0.295
United Arab Emirates,ARE,2021-06-02,13066261,,,,98545,76327,130.78,,,,7640,29436,0.295
United Arab Emirates,ARE,2021-06-03,13227344,,,,161083,91192,132.39,,,,9127,29436,0.295
United Arab Emirates,ARE,2021-06-04,,,,,,87807,,,,,8789,29436,0.295
United Arab Emirates,ARE,2021-06-05,13294010,,,,,76769,133.06,,,,7684,29436,0.295
United Arab Emirates,ARE,2021-06-06,13315751,,,,21741,72047,133.28,,,,7211,29436,0.295
United Arab Emirates,ARE,2021-06-07,13347300,,,,31549,68107,133.59,,,,6817,29436,0.295
United Arab Emirates,ARE,2021-06-08,,,,,,65701,,,,,6576,29436,0.295
United Arab Emirates,ARE,2021-06-09,13507943,,,,,63097,135.2,,,,6315,29436,0.295
United Arab Emirates,ARE,2021-06-10,13590206,,,,82263,51837,136.02,,,,5188,29436,0.295
United Arab Emirates,ARE,2021-06-11,13684429,,,,94223,60536,136.97,,,,6059,29436,0.295
